Event	ID	Name			Wwise Object Path	Notes
	53190359	Ship_Music			\Default Work Unit\Ship\Music\Ship_Music	
	110909812	Volga_Dial_Stop_All			\Default Work Unit\Ship\Dialog\Volga_Dial_Stop_All	
	368709004	Password_Wrong			\Default Work Unit\Ship\Computer\Password\Password_Wrong	
	814543256	Button_Click			\Default Work Unit\Ship\Computer\Button\Button_Click	
	926426176	Robot_Shutdown			\Default Work Unit\Ship\Robot\Robot_Shutdown	
	1059721737	Volga_Dial_P1			\Default Work Unit\Ship\Dialog\Volga_Dial_P1	
	1184261795	Robot_Scanning			\Default Work Unit\Ship\Robot\Robot_Scanning	
	1281846564	Robot_Moving			\Default Work Unit\Ship\Robot\Robot_Moving	
	1307820710	Computer_Scan			\Default Work Unit\Ship\Computer\Computer_Scan	
	1701177942	Button_Hover			\Default Work Unit\Ship\Computer\Button\Button_Hover	
	2063851173	Password_Right			\Default Work Unit\Ship\Computer\Password\Password_Right	
	2118619802	Robot_Operational			\Default Work Unit\Ship\Robot\Robot_Operational	
	2242625264	Calendar_Handle			\Default Work Unit\Ship\Objects\Calendar_Handle	
	2487570637	Robot_Invalid_Command			\Default Work Unit\Ship\Robot\Robot_Invalid_Command	
	2806985083	Computer_Start			\Default Work Unit\Ship\Computer\Computer_Start	
	3429733933	Ambiance_Bed			\Default Work Unit\Ship\Ambience\Ambiance_Bed	
	3878117114	Post_it_Handle			\Default Work Unit\Ship\Objects\Post_it_Handle	
	3910889982	Robot_Valid_Command			\Default Work Unit\Ship\Robot\Robot_Valid_Command	

Switch Group	ID	Name			Wwise Object Path	Notes
	1059721737	Volga_Dial_P1			\Default Work Unit\Volga_Dial_P1	

Switch	ID	Name	Switch Group			Notes
	4015423536	P1_03	Volga_Dial_P1			
	4015423537	P1_02	Volga_Dial_P1			
	4015423538	P1_01	Volga_Dial_P1			
	4015423540	P1_07	Volga_Dial_P1			
	4015423541	P1_06	Volga_Dial_P1			
	4015423542	P1_05	Volga_Dial_P1			
	4015423543	P1_04	Volga_Dial_P1			
	4015423547	P1_08	Volga_Dial_P1			

State Group	ID	Name			Wwise Object Path	Notes
	851633200	Stasis_or_Awake			\Default Work Unit\Stasis_or_Awake	

State	ID	Name	State Group			Notes
	0	None	Stasis_or_Awake			
	1151176110	Awake	Stasis_or_Awake			
	1274150312	Stasis	Stasis_or_Awake			

Effect plug-ins	ID	Name	Type				Notes
	670061577	Wwise_Parametric_EQ_(Custom)	Wwise Parametric EQ			
	2995775460	Room_Small	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	95564716	Ship_Drone_AMB_03_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Ship_Drone_AMB_03_SFX_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Ship_Drone_AMB_03_SFX		1876032
	104157524	Beep_02_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Beep_02_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Beeps\Beep_02_SFX		54912
	105935624	Ship_Metal_Raking_SFX_01	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Ship_Metal_Raking_SFX_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Metallic_Rakes\Ship_Metal_Raking_SFX_01		262208
	123125051	Computer_button_click_8kHz_01_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Computer_button_click_8kHz_01_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Computer\Button\Button_Click\Computer_button_click_8kHz_01_SFX		93904
	140245505	Volga_P1_Dial_06-03	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_06-03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_06\Volga_P1_Dial_06-03		249216
	168695386	Computer_Wrong_Password_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Computer_Wrong_Password_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Computer\Password\Computer_Wrong_Password_SFX		57544
	176151377	Ship_Metal_Raking_SFX_03	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Ship_Metal_Raking_SFX_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Metallic_Rakes\Ship_Metal_Raking_SFX_03		327744
	176982689	Computer_button_click_8kHz_02_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Computer_button_click_8kHz_02_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Computer\Button\Button_Click\Computer_button_click_8kHz_02_SFX		104416
	203544195	Ship_Metal_Raking_SFX_02	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Ship_Metal_Raking_SFX_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Metallic_Rakes\Ship_Metal_Raking_SFX_02		262208
	243976750	Volga_P1_Dial_05-01	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_05-01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_05\Volga_P1_Dial_05-01		455824
	322691907	Robot_Command_Received_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Robot_Command_Received_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Robot\Robot_Command_Received_SFX		114496
	367872868	Calendar_Handle_02_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Calendar_Handle_02_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Objects\Calendar_Handle\Calendar_Handle_02_SFX		144064
	373283471	Calendar_Handle_04_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Calendar_Handle_04_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Objects\Calendar_Handle\Calendar_Handle_04_SFX		240064
	382648824	Electric_Zap_01_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Electric_Zap_01_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Electric_Zaps\Electric_Zap_01_SFX		198720
	438410619	Ship_Metal_Raking_SFX_04	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Ship_Metal_Raking_SFX_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Metallic_Rakes\Ship_Metal_Raking_SFX_04		1523776
	453477331	Calendar_Handle_03_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Calendar_Handle_03_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Objects\Calendar_Handle\Calendar_Handle_03_SFX		192064
	498944890	Computer_button_hover_8kHz_03_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Computer_button_hover_8kHz_03_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Computer\Button\Button_Hover\Computer_button_hover_8kHz_03_SFX		100528
	499212742	Volga_P1_Dial_08-01	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_08-01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_08\Volga_P1_Dial_08-01		228416
	509023897	Volga_P1_Dial_05-03	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_05-03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_05\Volga_P1_Dial_05-03		660928
	515493871	Computer_processing_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Computer_processing_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Computer\Computer_processing_SFX		3342400
	522560959	Volga_P1_Dial_08-03	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_08-03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_08\Volga_P1_Dial_08-03		638016
	551593222	Robot_Scan_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Robot_Scan_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Robot\Robot_Scan_SFX		427072
	566675852	Electric_Zap_02_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Electric_Zap_02_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Electric_Zaps\Electric_Zap_02_SFX		278592
	571969060	Beep_03_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Beep_03_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Beeps\Beep_03_SFX		10560
	572746147	Volga_P1_Dial_08-02	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_08-02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_08\Volga_P1_Dial_08-02		398656
	576359891	Volga_P1_Dial_05-02	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_05-02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_05\Volga_P1_Dial_05-02		286448
	579876913	Volga_P1_Dial_03-01	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_03-01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_03\Volga_P1_Dial_03-01		139908
	607439749	Volga_P1_Dial_02-01	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_02-01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_02\Volga_P1_Dial_02-01		316970
	630330714	Paper_Put_Back_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Paper_Handle_04_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Objects\Post-it_Handle\Post-It_Put_Back\Paper_Put_Back_SFX		45376
	630372981	Volga_P1_Dial_07-02	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_07-02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_07\Volga_P1_Dial_07-02		289088
	633798380	Computer_Right_Password_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Computer_Good_Password_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Computer\Password\Computer_Right_Password_SFX		290884
	651215527	Stasis	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Stasis_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Ship_Music\Stasis\Stasis		6912064
	671115657	Robot_Operational_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Robot_Operational_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Robot\Robot_Operational_SFX		131648
	672258755	Robot_Moving_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Robot_Moving_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Robot\Robot_Moving_SFX		321088
	676221751	Volga_P1_Dial_07-01	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_07-01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_07\Volga_P1_Dial_07-01		1062464
	694977143	Ship_Drone_AMB_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Ship_Drone_AMB_SFX_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Ship_Drone_AMB_SFX		11419712
	703675330	Paper_Handle_03_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Paper_Handle_03_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Objects\Post-it_Handle\Post-it_Take\Paper_Handle_03_SFX		66368
	713839033	Paper_Handle_ 01_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Paper_Handle_ 01_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Objects\Post-it_Handle\Post-it_Take\Paper_Handle_ 01_SFX		43584
	714374822	Volga_P1_Dial_03-02	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_03-02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_03\Volga_P1_Dial_03-02		454336
	718832362	Computer_button_hover_8kHz_01_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Computer_button_hover_8kHz_01_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Computer\Button\Button_Hover\Computer_button_hover_8kHz_01_SFX		93904
	729253935	Volga_P1_Dial_04-01	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_04-01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_04\Volga_P1_Dial_04-01		290368
	747958361	Ship_Drone_AMB_02_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Ship_Drone_AMB_02_SFX_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Ship_Drone_AMB_02_SFX		7192640
	759164687	Volga_P1_Dial_02-02	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_02-02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_02\Volga_P1_Dial_02-02		594752
	762012689	Robot_Command_Not_Valid_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Robot_Command_Not_Valid_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Robot\Robot_Command_Not_Valid_SFX		115392
	776657558	Volga_P1_Dial_06-02	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_06-02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_06\Volga_P1_Dial_06-02		401920
	796825715	Volga_P1_Dial_01	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_01		520256
	825089419	Computer_On_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Computer_On_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Computer\Computer_On_SFX		2663168
	827925329	Volga_P1_Dial_04-04	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_04-04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_04\Volga_P1_Dial_04-04		68800
	844426173	Awake	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Awake_D79FB2B7.wem		\Interactive Music Hierarchy\Music\Ship_Music\Awake\Awake		9216064
	844903138	Volga_P1_Dial_04-02	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_04-02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_04\Volga_P1_Dial_04-02		877440
	861117954	Computer_button_hover_8kHz_02_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Computer_button_hover_8kHz_02_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Computer\Button\Button_Hover\Computer_button_hover_8kHz_02_SFX		104416
	877932791	Robot_Shutdown_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Robot_Shutdown_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Robot\Robot_Shutdown_SFX		413320
	894220143	Paper_Handle_02_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Paper_Handle_02_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Objects\Post-it_Handle\Post-it_Take\Paper_Handle_02_SFX		67136
	912199970	Volga_P1_Dial_04-03	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_04-03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_04\Volga_P1_Dial_04-03		710976
	937404006	Computer_button_click_8kHz_03_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Computer_button_click_8kHz_03_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Computer\Button\Button_Click\Computer_button_click_8kHz_03_SFX		100528
	967619636	Calendar_Handle_01_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Calendar_Handle_01_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Element\Ship\Objects\Calendar_Handle\Calendar_Handle_01_SFX		192064
	975210841	Beep_01_SFX	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\SFX\Beep_01_SFX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Ship\Beds\Beeps\Beep_01_SFX		156224
	1032451729	Volga_P1_Dial_06-01	D:\Farewell_Prometheus\Farewell_Prometheus\FarewellPrometheus\FarewellPrometheus_WwiseProject\.cache\Mac\Voices\English(US)\Volga_P1_Dial_06-01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocal\Phase_1\Volga\Volga_Dial_P1\Volga_P1_Dial_06\Volga_P1_Dial_06-01		903744

